count	id_i	id_j	x	y	z	rotation_x	rotation_y
80	7	5	156.228911	-156.228911	-2327.091377	3.835047	183.835047
81	7	6	156.228911	0.000000	-2332.329683	-0.000000	183.832179
82	7	7	156.228911	156.228911	-2327.091377	-3.835047	183.835047
83	7	8	156.228911	311.759195	-2311.399566	-7.670152	183.843670
84	7	9	156.228911	465.895347	-2285.323451	-11.505373	183.858102
85	7	10	156.228911	617.948098	-2248.977967	-15.340776	183.878437
86	7	11	156.228911	767.237495	-2202.523184	-19.176433	183.904806
87	7	12	156.228911	913.095943	-2146.163448	-23.012433	183.937382
88	8	0	311.759195	-913.095943	-2129.138611	23.070700	187.877051
89	8	1	311.759195	-767.237495	-2185.937340	19.223182	187.811146
90	8	2	311.759195	-617.948098	-2232.737238	15.377046	187.757829
91	8	3	311.759195	-465.895347	-2269.342846	11.531941	187.716730
92	8	4	311.759195	-311.759195	-2295.600495	7.687570	187.687570
93	8	5	311.759195	-156.228911	-2311.399566	3.843670	187.670152
94	8	6	311.759195	0.000000	-2316.673353	-0.000000	187.664359
95	8	7	311.759195	156.228911	-2311.399566	-3.843670	187.670152
96	8	8	311.759195	311.759195	-2295.600495	-7.687570	187.687570
97	8	9	311.759195	465.895347	-2269.342846	-11.531941	187.716730
98	8	10	311.759195	617.948098	-2232.737238	-15.377046	187.757829
99	8	11	311.759195	767.237495	-2185.937340	-19.223182	187.811146
100	8	12	311.759195	913.095943	-2129.138611	-23.070700	187.877051
101	9	0	465.895347	-767.237495	-2158.345981	19.301562	191.720631
102	9	1	465.895347	-617.948098	-2205.731375	15.437817	191.639177
103	9	2	465.895347	-465.895347	-2242.777803	11.576435	191.576435
104	9	3	465.895347	-311.759195	-2269.342846	7.716730	191.531941
105	9	4	465.895347	-156.228911	-2285.323451	3.858102	191.505373
106	9	5	465.895347	0.000000	-2290.657274	-0.000000	191.496538
107	9	6	465.895347	156.228911	-2285.323451	-3.858102	191.505373
108	9	7	465.895347	311.759195	-2269.342846	-7.716730	191.531941
109	9	8	465.895347	465.895347	-2242.777803	-11.576435	191.576435
110	9	9	465.895347	617.948098	-2205.731375	-15.437817	191.639177
111	9	10	465.895347	767.237495	-2158.345981	-19.301562	191.720631
112	10	0	617.948098	-767.237495	-2119.824520	19.412285	195.635035
113	10	1	617.948098	-617.948098	-2168.052010	15.523578	195.523578
114	10	2	617.948098	-465.895347	-2205.731375	11.639177	195.437817
115	10	3	617.948098	-311.759195	-2232.737238	7.757829	195.377046
116	10	4	617.948098	-156.228911	-2248.977967	3.878437	195.340776
117	10	5	617.948098	0.000000	-2254.397784	-0.000000	195.328717
118	10	6	617.948098	156.228911	-2248.977967	-3.878437	195.340776
119	10	7	617.948098	311.759195	-2232.737238	-7.757829	195.377046
120	10	8	617.948098	465.895347	-2205.731375	-11.639177	195.437817
121	10	9	617.948098	617.948098	-2168.052010	-15.523578	195.523578
122	10	10	617.948098	767.237495	-2119.824520	-19.412285	195.635035
123	11	0	767.237495	-617.948098	-2119.824520	15.635035	199.412285
124	11	1	767.237495	-465.895347	-2158.345981	11.720631	199.301562
125	11	2	767.237495	-311.759195	-2185.937340	7.811146	199.223182
126	11	3	767.237495	-156.228911	-2202.523184	3.904806	199.176433
127	11	4	767.237495	0.000000	-2208.057030	-0.000000	199.160896
128	11	5	767.237495	156.228911	-2202.523184	-3.904806	199.176433
129	11	6	767.237495	311.759195	-2185.937340	-7.811146	199.223182
130	11	7	767.237495	465.895347	-2158.345981	-11.720631	199.301562
131	11	8	767.237495	617.948098	-2119.824520	-15.635035	199.412285
132	12	0	913.095943	-311.759195	-2129.138611	7.877051	203.070700
133	12	1	913.095943	-156.228911	-2146.163448	3.937382	203.012433
134	12	2	913.095943	0.000000	-2151.842239	-0.000000	202.993076
135	12	3	913.095943	156.228911	-2146.163448	-3.937382	203.012433
136	12	4	913.095943	311.759195	-2129.138611	-7.877051	203.070700
